问题,算法,平均适应度,标准差,最优适应度,成功率,平均时间(s)
Sphere,PSO,1.916715e-12,2.911647e-12,1.069054e-14,100.00%,1.646
Sphere,GA,6.791607e-04,4.683619e-04,4.003791e-05,0.00%,0.879
Sphere,Hybrid_PSO_GA,2.159774e-11,4.650610e-11,8.879359e-14,100.00%,2.531
Rosenbrock,PSO,5.991267e+00,7.694521e-01,4.964559e+00,0.00%,1.642
Rosenbrock,GA,7.088711e+00,1.102370e+00,3.392467e+00,0.00%,0.862
Rosenbrock,Hybrid_PSO_GA,5.989059e+00,9.831560e-01,4.247563e+00,0.00%,2.543
Rastrigin,PSO,7.107685e+00,2.742551e+00,2.984879e+00,0.00%,1.634
Rastrigin,GA,2.153869e+00,1.249004e+00,1.928842e-01,0.00%,0.882
Rastrigin,Hybrid_PSO_GA,3.084839e+00,1.873820e+00,6.425550e-07,3.33%,2.548
Griewank,PSO,1.188223e-01,6.966979e-02,1.724110e-02,0.00%,1.776
Griewank,GA,4.666766e-01,1.437730e-01,1.646692e-01,0.00%,0.918
Griewank,Hybrid_PSO_GA,1.443127e-01,6.517387e-02,3.937514e-02,0.00%,2.716
Ackley,PSO,7.405657e-06,5.006653e-06,5.795220e-07,3.33%,1.813
Ackley,GA,2.377951e-01,8.227081e-02,9.728757e-02,0.00%,0.950
Ackley,Hybrid_PSO_GA,1.724885e-04,6.662506e-04,1.213031e-06,0.00%,2.712
Schwefel,PSO,8.471935e+02,2.227465e+02,4.540165e+02,0.00%,1.745
Schwefel,GA,3.877633e+02,1.857865e+02,1.187975e+02,0.00%,0.879
Schwefel,Hybrid_PSO_GA,5.402107e+02,1.773270e+02,2.368768e+02,0.00%,2.619
Levy,PSO,6.849157e-12,1.549223e-11,2.862136e-14,100.00%,2.020
Levy,GA,8.908457e-04,5.411227e-04,1.189626e-04,0.00%,1.016
Levy,Hybrid_PSO_GA,9.221182e-11,2.607393e-10,9.064618e-13,100.00%,2.776
